joint,disp
left_foot_index,4.607317479510972
right_index,4.155710160848599
right_foot_index,4.122379937089622
right_pinky,4.115091474460815
right_eye_outer,4.109306369744622
right_eye,4.105157357854602
right_eye_inner,4.097366863305315
left_eye_inner,4.047426405306875
right_thumb,4.035566915948188
left_eye,4.0156164557729
left_ankle,4.000651105298305
left_eye_outer,3.981982542278695
nose,3.974075691182111
left_heel,3.9629629835550073
right_ear,3.8864246727701133
right_wrist,3.8154287409476275
mouth_right,3.761442690857897
left_ear,3.704840194589878
mouth_left,3.6956133594582674
right_heel,3.6427051528073267
